uid,batch_num,candidate_num,date_folder,exp,channel,file_num,start_time_file_sec,stop_time_file_sec,next_call_type,next_call_gap_s
2025_03_235_30_043_243495,2,7,2025_03,235,30,43,243.494656,243.52832,stacks,0.001024
2025_03_235_30_043_245249,2,8,2025_03,235,30,43,245.248512,245.276416,stacks,0.000768
2025_03_235_30_043_248382,2,9,2025_03,235,30,43,248.381824,248.429056,stacks,0.02432
2025_03_235_30_043_250590,2,10,2025_03,235,30,43,250.589696,250.734976,stacks,0.013568
2025_03_235_30_050_202107,2,11,2025_03,235,30,50,202.107136,202.136576,stacks,0.004736
2025_03_235_30_050_202967,2,12,2025_03,235,30,50,202.966784,202.999288,stacks,0.014088
2025_03_235_30_052_277942,2,13,2025_03,235,30,52,277.9424,277.99488,stacks,0.00704
2025_03_235_30_052_332372,2,14,2025_03,235,30,52,332.37184,332.406016,stacks,0.001408
2025_03_235_30_056_39169,2,15,2025_03,235,30,56,39.168512,39.209216,stacks,0.00192
2025_03_235_30_056_53017,2,16,2025_03,235,30,56,53.017472,53.041528,stacks,0.04468
2025_03_235_30_059_11115,2,17,2025_03,235,30,59,11.114752,11.140864,stacks,0.011904
2025_03_235_30_059_113380,2,18,2025_03,235,30,59,113.37984,113.473144,stacks,0.005128
2025_03_235_30_059_142127,2,19,2025_03,235,30,59,142.127104,142.15808,stacks,0.002048
2025_03_235_30_059_142745,2,20,2025_03,235,30,59,142.745216,142.784632,stacks,0.027528
2025_03_235_30_059_325647,2,21,2025_03,235,30,59,325.647488,325.703416,stacks,0.046344
2025_03_235_30_059_354673,2,22,2025_03,235,30,59,354.672512,354.711424,stacks,0.020352
2025_03_235_30_059_355160,2,23,2025_03,235,30,59,355.15968,355.186936,stacks,0.007432
2025_03_235_30_059_76350,2,24,2025_03,235,30,59,76.349568,76.377848,stacks,0.007432
2025_03_235_30_059_78597,2,25,2025_03,235,30,59,78.597376,78.623744,stacks,0.018688
2025_03_235_30_060_205,2,30,2025_03,235,30,60,0.2048,0.261368,stacks,0.017032
2025_03_235_30_060_25595,3,1,2025_03,235,30,60,25.595392,25.635456,stacks,0.000384
