uid,batch_num,candidate_num,date_folder,exp,channel,file_num,start_time_file_sec,stop_time_file_sec,next_call_type,next_call_gap_s
2025_03_237_20_198_331060,10,14,2025_03,237,20,198,331.06048,331.082104,stacks,0.034824
2025_03_237_20_251_291623,10,15,2025_03,237,20,251,291.623296,291.652992,stacks,0.046592
2025_03_237_30_000_1103,10,16,2025_03,237,30,0,1.102976,1.147264,stacks,0.01216
2025_03_237_30_000_169859,10,17,2025_03,237,30,0,169.859072,169.903096,stacks,0.042248
2025_03_237_30_000_186111,10,18,2025_03,237,30,0,186.11136,186.15948,stacks,0.027016
2025_03_237_30_000_264524,10,19,2025_03,237,30,0,264.523648,264.555904,stacks,0.006656
2025_03_237_30_000_31873,10,20,2025_03,237,30,0,31.873024,31.91564,stacks,0.010248
2025_03_237_30_000_91133,10,21,2025_03,237,30,0,91.133056,91.203192,stacks,0.019464
2025_03_237_30_000_95151,10,22,2025_03,237,30,0,95.151232,95.178488,stacks,0.01588
2025_03_237_30_000_97418,10,23,2025_03,237,30,0,97.417856,97.46816,stacks,0.018688
2025_03_237_30_001_184507,10,24,2025_03,237,30,1,184.50688,184.545656,stacks,0.0178
2025_03_237_30_002_213453,10,25,2025_03,237,30,2,213.453056,213.507968,stacks,0.00896
2025_03_237_30_002_253156,10,26,2025_03,237,30,2,253.156096,253.17888,stacks,0.005504
2025_03_237_30_002_276927,10,27,2025_03,237,30,2,276.92736,276.953848,stacks,0.043656
2025_03_237_30_002_277633,10,28,2025_03,237,30,2,277.632768,277.657984,stacks,0.043392
2025_03_237_30_002_278407,10,29,2025_03,237,30,2,278.40704,278.468608,stacks,0.029184
2025_03_237_30_002_282429,10,30,2025_03,237,30,2,282.4288,282.455296,stacks,0.012288
