exp,file_num,t_entry
505,160,312.9173
493,114,106.7989
504,117,219.6355
493,92,79.9240
517,127,106.8344
548,155,338.2229
517,138,299.9464
504,196,223.1303
541,3,19.0365
521,45,250.2548
497,2,354.6273
517,2,36.9911
493,26,96.5264
513,177,215.2532
512,34,226.4752
504,141,346.1228
518,9,27.1306
545,29,7.3244
517,90,64.8885
534,3,91.1408
526,16,299.9498
512,45,216.8327
512,91,210.3623
493,98,96.3965
494,35,35.8101
501,189,25.6721
521,1,122.2116
565,30,156.3799
508,73,311.7267
493,16,25.0459
555,189,80.1797
545,75,53.5375
501,164,160.5852
559,10,93.5297
504,82,346.7029
519,79,286.4541
517,28,302.0564
517,94,319.8328
504,123,262.2967
504,206,262.2584
555,40,159.2680
497,24,41.4056
505,13,22.0077
548,148,256.9517
517,130,40.3786
526,12,46.5332
519,177,274.6082
519,37,229.7907
499,11,341.0124
545,28,279.5871
526,97,92.8753
506,55,165.5213
555,14,287.8081
545,29,126.6305
504,100,241.8954
508,56,205.3782
501,135,239.8181
519,99,293.6918
519,5,325.3479
493,8,189.7599
513,31,27.6234
501,67,162.2216
526,94,84.8499
509,18,260.9219
545,170,219.2843
493,46,130.9146
501,173,279.5475
511,10,80.9039
513,52,110.9944
555,65,15.9748
497,200,250.3884
501,185,325.3073
565,126,237.7502
513,100,7.2746
519,164,135.6146
517,194,114.3182
512,46,20.7719
493,52,6.4030
501,113,327.7045
513,83,27.0801
519,88,219.1850
519,187,317.1626
565,93,188.9605
519,177,151.5811
516,2,152.4958
517,170,161.9672
497,173,324.6156
565,33,326.6322
512,99,70.2197
506,68,116.6648
517,137,305.5477
497,103,271.0083
504,67,145.6748
505,21,19.7205
506,20,264.1148
517,30,28.2251
519,114,69.8919
501,221,196.9475
508,55,261.2068
519,130,255.2112
497,111,203.7349
501,106,345.5428
504,112,103.2140
505,4,118.9921
565,103,339.1032
494,48,148.1470
517,0,249.0802
565,29,236.9398
497,112,272.7758
519,100,171.5709
519,58,208.6437
501,22,242.7207
493,117,86.5495
512,105,24.5185
517,81,286.4372
497,172,347.3838
517,196,86.2252
519,2,254.8639
501,114,9.4660
526,94,291.7610
545,13,3.3322
565,33,276.8884
493,114,285.9900
565,39,82.1015
519,206,344.9464
497,204,43.2745
565,100,213.5882
493,90,118.9118
514,11,113.7931
513,172,270.4339
541,6,148.1739
497,165,350.0295
505,83,354.0131
518,6,48.1135
517,131,255.9299
519,198,107.3770
501,110,24.7624
565,93,151.1336
513,73,147.8722
501,136,265.5268
512,45,348.5809
530,9,211.8891
494,21,6.6162
552,100,294.2759
541,9,94.0156
513,187,336.1164
501,102,223.8311
501,88,349.8512
548,86,9.9480
513,176,296.7226
504,9,221.7194
494,1,82.8870
526,42,49.7527
526,3,299.0159
504,71,313.0245
513,108,214.7367
519,28,30.8502
493,12,110.7566
504,36,47.5380
519,88,162.6295
548,158,196.2195
505,86,8.4287
526,53,208.5127
513,175,335.3979
501,114,160.3884
506,65,165.5321
501,89,121.6397
565,93,294.4220
501,62,153.7741
497,195,114.5026
496,3,244.6923
513,21,245.5415
518,7,276.0346
517,192,180.2968
516,2,119.4617
541,7,129.3769
504,67,96.5487
519,14,268.4973
513,30,123.8179
513,182,308.7835
501,17,328.0054
504,5,220.6679
504,17,13.7305
497,109,131.5090
501,115,29.2306
521,5,159.0696
493,15,239.1699
497,25,294.9167
511,0,313.6027
513,56,316.2144
518,17,236.1760
565,126,146.1310
526,90,28.6138
515,17,333.3580
514,10,170.1708
545,73,29.9633
519,111,316.7648
497,166,171.5497
512,5,144.3552
548,1,7.5693
504,37,199.4067
548,155,275.7384
504,5,279.7734
515,0,277.4545
513,70,316.0932
493,109,237.5142
497,205,239.8276
504,185,255.8441
517,81,157.2773
557,11,308.0311
544,10,127.1735
526,93,88.6775
510,6,285.6983
505,137,52.0957
493,44,196.7464
513,49,327.3388
504,9,81.2272
517,196,251.1907
521,1,182.0446
549,15,207.2814
497,175,21.4283
513,48,174.3366
501,155,95.2815
519,192,189.6993
517,136,176.6026
504,136,94.3256
519,90,159.8025
517,181,281.8892
545,169,255.5925
501,136,132.8010
519,121,20.8389
530,3,351.3044
526,16,75.9926
501,112,221.6105
555,41,204.5316
550,36,47.6543
497,141,281.1205
497,176,164.7465
501,167,8.1152
517,191,118.6749
493,15,228.6399
494,2,98.6021
526,5,1.3326
545,15,176.9851
521,53,33.3730
504,50,116.6972
513,27,156.4573
519,56,279.6849
516,4,90.2762
504,186,349.5233
494,33,14.6403
515,19,343.3438
501,201,305.1472
519,191,313.9182
519,83,292.8008
505,188,308.6149
517,44,163.0172
493,37,89.4500
555,39,204.1638
515,16,290.1241
510,2,53.8063
555,70,150.0629
506,59,312.2756
505,75,264.9904
518,4,54.2332
497,63,187.2217
565,34,255.1444
513,49,69.4106
512,99,151.6745
548,153,93.7568
508,58,107.6413
517,193,121.5676
545,170,93.2700
565,96,98.7545
565,30,114.0703
501,202,120.3097
