exp,file_num,t_entry,motion_pre,p_occupied
504,53,85.181,0.0005785234899328,0.978483677235826
504,164,264.0936,0.0003742729306487,0.9392106698256304
519,197,34.3236,0.0014959731543624,0.981201567836133
565,113,295.3863,0.0019308724832214,0.2856816022783818
504,68,110.9477,0.0002422818791946,0.9929157702950876
497,202,56.6127,0.0022673378076062,0.7871160902328425
510,3,357.6569,0.0023829977628635,0.9760206393007406
516,4,320.5496,8.948545861297539e-07,0.9559872668750682
517,63,66.1481,0.0010671140939597,0.9936454098479336
513,181,97.2715,0.0,0.2369577442573538
545,81,353.425,7.404921700223714e-05,0.92576276540407
515,19,204.827,0.0019997762863534,0.9964243349260032
548,128,74.4885,8.948545861297539e-07,0.9041527267443252
526,11,329.4826,1.3422818791946309e-06,0.9293083129479848
517,176,222.3919,0.0017302013422818,0.9702978821682589
545,175,199.949,0.0005744966442953,0.9531071145710966
526,29,191.9102,0.0,0.7393716194481724
508,83,324.1159,0.0008870246085011,0.7579129830953638
513,62,312.4417,0.0002847874720357,0.8756062452096008
549,15,321.7816,0.0008608501118568,0.9182485588441578
493,14,55.11,0.0027753914988814,0.7770888620733796
519,142,59.6915,0.0021046979865771,0.9315451929184512
513,180,335.6089,0.0,0.2428640305804177
512,86,94.7659,0.0032393736017897,0.9777497405601144
493,15,198.0223,0.0016648769574944,0.8628055488392576
511,0,197.8947,0.002693288590604,0.9801313613229358
545,123,64.6391,0.0022545861297539,0.818022467008949
496,7,70.3059,0.0002015659955257,0.975427819947222
521,49,325.352,0.0,0.4823901614461763
492,6,266.4432,0.0,0.9479136772828122
493,21,114.616,0.0031476510067114,0.9931540511132813
493,97,13.6379,4.47427293064877e-07,0.7065613238220387
492,14,343.9219,0.0,0.8244567227902055
512,14,195.8241,0.0001590604026845,0.964667759659633
555,26,49.645,0.0020809843400447,0.9757766658316606
497,141,109.3422,0.0001608501118568,0.7310230045711374
499,15,83.4862,0.0004711409395973,0.9850391683830312
526,20,245.7957,2.237136465324385e-07,0.8212794933367569
519,130,52.3531,0.0,0.4830069852479913
493,44,22.7822,0.001865548098434,0.9603789905389508
534,3,169.9414,0.0006590604026845,0.995990199086374
549,6,89.1784,0.0001413870246085,0.9965752848611522
512,35,266.5997,0.0026129753914988,0.9826736654772008
513,146,92.4007,0.0036519015659955,0.9837780277653012
534,13,68.8094,0.0004680089485458,0.9277476353999784
545,170,281.858,0.000959284116331,0.9863984776347636
501,21,250.9381,0.0021941834451901,0.992915178488865
526,7,154.5067,0.000638255033557,0.9654393525640332
504,54,30.6182,0.0001561521252796,0.9899421063234776
548,156,217.6565,0.0001232662192393,0.9774032433997224
557,71,20.5486,0.0013252796420581,0.8671973890430656
517,116,189.4235,0.0,0.357693463555343
493,76,44.9619,0.0035615212527964,0.9980005530906568
492,12,131.8405,0.0,0.9578778464696392
517,1,238.1477,0.001421029082774,0.9219410023227552
504,124,184.1127,0.0,0.7663034379273309
519,192,260.9923,0.0011664429530201,0.9428340228518328
555,54,351.1431,0.0002156599552572,0.9865953948964316
501,215,212.4305,0.0,0.5270410475308533
504,113,346.1552,0.001221029082774,0.9899347588380945
545,73,218.0241,0.0009328859060402,0.9973474416145448
497,143,108.4265,8.389261744966443e-05,0.994809035484112
513,104,88.5285,6.711409395973154e-05,0.9849841430597576
519,120,210.7736,0.0,0.4093895851789931
504,145,141.5739,0.000776510067114,0.9517581231307694
512,0,179.0339,0.0001270693512304,0.8237647450959854
544,13,204.8674,4.47427293064877e-07,0.9435952414639456
517,114,171.315,0.00221096196868,0.9715588649397288
510,15,317.1448,0.0,0.5308254168045151
526,8,187.7448,0.0036183445190156,0.7719211953168261
505,128,116.5515,0.0007800894854586,0.9272662886443752
548,116,340.4578,7.673378076062641e-05,0.9514943711999012
517,12,63.4994,0.0001295302013422,0.9860127404604144
519,4,55.004,0.0001541387024608,0.9986236642911516
517,13,288.9273,0.0008252796420581,0.982936760892337
516,5,204.2364,8.948545861297539e-07,0.945545158097447
511,10,11.0016,6.711409395973154e-07,0.8378970887923335
514,9,154.791,1.5659955257270692e-06,0.8758481579347719
517,173,52.9387,0.0036404921700223,0.9826362672973314
505,133,249.0093,0.0023158836689038,0.953462084125296
501,124,73.5634,0.0,0.6477246340535383
505,195,155.0685,0.0005977628635346,0.7312125886526885
493,28,56.3483,0.0032136465324384,0.6712559112564785
504,134,285.6995,0.002503803131991,0.5653965511442997
545,74,222.1741,0.0023154362416107,0.9899579512362748
513,142,74.1754,0.0004031319910514,0.904451715126146
504,67,345.4469,0.0011299776286353,0.9942971894376116
513,52,192.0962,9.865771812080538e-05,0.9609510543974048
497,6,96.6316,0.0020085011185682,0.9927342265258042
519,191,113.9122,0.0011771812080536,0.8881112775185875
513,183,82.9771,0.0008675615212527,0.9544465905634562
501,166,252.8058,0.0031559284116331,0.94704843838551
508,38,236.2109,0.0,0.7200312123553068
504,124,27.5214,0.0,0.7869929854632184
565,101,188.8404,0.0004800894854586,0.6530141013962093
517,125,188.6538,0.0,0.9208136107352464
513,107,15.1585,0.0029747203579418,0.9881802058425008
550,46,275.7165,0.0028375838926174,0.624449186380205
493,12,134.6919,0.002531096196868,0.9241361273525804
501,34,20.4776,0.0017872483221476,0.9826043624733656
555,41,241.2273,0.0001100671140939,0.951044157120722
518,5,334.079,0.0031156599552572,0.9541945147116748
501,120,202.3753,0.0008816554809843,0.9758715666109544
545,180,177.4949,0.0013434004474272,0.6031052428103878
505,10,115.9967,0.0,0.9265851236319972
545,169,79.5886,0.0010185682326621,0.9905458248332838
519,37,341.7891,0.0006272930648769,0.8012202469414688
518,1,95.9259,0.0011577181208053,0.92725027625287
555,190,219.6024,0.0004140939597315,0.9493695692423458
512,92,110.5039,4.47427293064877e-07,0.941933255809938
497,164,329.8587,9.507829977628635e-05,0.9314998273311412
544,13,116.9668,0.0,0.9491942587223376
518,7,339.8667,0.002142058165548,0.8498729709008731
511,9,26.2998,2.237136465324385e-07,0.8336075312398006
518,2,162.4427,2.237136465324385e-07,0.6729909583295338
526,88,156.6709,0.0004912751677852,0.996958781960714
515,14,256.5403,0.0,0.5217281065439271
505,192,271.8925,0.0032355704697986,0.5084043095338772
504,169,168.672,0.0028859060402684,0.8385515608813966
501,102,339.1401,0.0004451901565995,0.9979406891566448
504,182,126.8368,0.0,0.4370438005348049
504,203,42.4208,0.0,0.2907992290471384
497,128,199.4821,0.0036633109619686,0.9230818015144032
504,127,359.0091,0.0,0.5973883505093212
517,139,185.7677,0.0025733780760626,0.9977077020987604
519,121,166.8928,0.0012979865771812,0.942565635882504
519,36,145.9283,0.0019706935123042,0.9798139416215402
494,1,187.1238,1.1185682326621925e-06,0.7486518145602915
513,11,219.58,0.0029259507829977,0.9907350740137212
512,94,268.2179,0.0004098434004474,0.9928299701838252
565,31,16.8996,0.0034633109619686,0.797518303642425
508,41,227.8526,0.0022628635346756,0.981148918462154
519,101,39.7834,0.0002217002237136,0.9025481154563688
497,131,200.3553,0.0003131991051454,0.5642593873311177
508,80,328.3219,0.0023064876957494,0.9332950467100748
497,143,226.4707,0.0002357941834451,0.9924869301599848
501,124,172.0387,0.0,0.6571442782564764
501,208,298.6412,0.0036203579418344,0.9269500353453272
545,127,66.0547,0.0003778523489932,0.6384850621591758
504,121,69.4481,0.0003263982102908,0.8550800164260779
517,167,274.3884,0.0001335570469798,0.9953688880341992
505,146,84.5128,0.0023429530201342,0.9934644123980974
493,38,210.5936,0.0030590604026845,0.9979282413620284
505,4,94.4925,0.0005767337807606,0.9098025494497952
552,4,32.3125,0.0005812080536912,0.8033686394797166
517,18,347.8203,0.0022762863534675,0.9539552928179784
519,90,92.3827,0.0017107382550335,0.9505782285341894
504,68,203.839,0.0020677852348993,0.9952300556000936
492,10,308.0485,0.0,0.9022358571619729
505,36,339.4175,2.237136465324385e-07,0.7485566954295549
525,3,250.0277,0.0,0.8134836320313298
545,179,34.5881,0.0027957494407158,0.9442646990570818
493,13,298.598,0.0013572706935123,0.8084714052343275
548,17,36.4574,0.0002389261744966,0.9830729066166652
493,50,333.2811,0.0013767337807606,0.9965598255916224
506,16,288.5646,1.5659955257270697e-06,0.9566019159475746
513,172,201.2628,0.0,0.3861098291269635
514,16,133.0852,0.0026782997762863,0.9652702449130226
525,4,173.4651,0.0,0.6288857894524928
517,177,102.8194,0.0002926174496644,0.6301671741532153
513,148,39.4535,0.0009167785234899,0.9870281582225088
505,7,265.4016,0.0,0.6107425561399604
526,11,297.8312,0.0008550335570469,0.9337786831221986
501,74,32.5011,0.0017212527964205,0.9589622254426564
504,82,133.5088,0.0,0.611931286292721
526,24,146.5833,0.0,0.6909540524814703
508,56,97.9701,0.000128187919463,0.9487334346568728
510,5,147.3732,0.0003295302013422,0.9313614524177516
545,110,296.1186,1.1185682326621925e-06,0.4384186466490627
526,19,304.4049,0.0,0.7484280318969738
518,16,154.8586,0.0,0.7161297680921329
499,16,197.6873,0.0031677852348993,0.9780803001828444
517,31,201.3814,0.0003360178970917,0.9838899776022564
518,22,311.0094,0.0025505592841163,0.9996389046611438
555,11,148.5553,0.00168322147651,0.9107395295123938
506,45,253.3337,0.000186577181208,0.9922984328689368
513,93,248.2659,0.0,0.8903623892380519
535,7,311.0402,0.0011541387024608,0.99320355093294
526,20,108.9569,0.0,0.8472374262474768
513,102,133.0507,0.0003046979865771,0.9112138024922868
521,53,266.8874,0.0,0.8794820967371145
493,90,278.2422,0.0032308724832214,0.919113587253074
514,12,79.363,0.0011011185682326,0.9744389601272988
519,56,209.9784,0.0014328859060402,0.995344653971803
506,46,297.5361,0.0029713646532438,0.99706940338246
519,125,317.4265,0.0,0.3918089361400889
492,20,87.3529,0.0003731543624161,0.9999845587501716
517,192,129.1234,0.0,0.3475434140002448
550,16,227.1484,0.0009644295302013,0.98554697731062
545,178,325.4337,0.000131543624161,0.8808021923544378
517,126,143.9786,0.0035930648769574,0.9849655847730654
501,23,50.6841,0.0004134228187919,0.9879310853643422
504,150,70.5949,0.0026841163310961,0.8811844393646735
519,121,337.7534,0.0,0.5086261257324787
517,131,42.2881,0.0021689038031319,0.9937130953993892
519,113,23.1492,0.0004127516778523,0.5514665165461764
526,9,106.898,0.0,0.6505648052883093
501,174,245.7371,0.0010156599552572,0.9978823352605202
514,13,116.0266,4.47427293064877e-07,0.8688878602672166
504,171,89.9777,0.0031051454138702,0.8838124938607217
549,3,140.1574,0.0033217002237136,0.9301607774033098
506,35,261.7785,0.0036979865771812,0.822425056690092
545,123,139.1521,0.0005384787472035,0.7926553227676051
519,131,114.7761,0.0,0.4875480482466107
518,20,358.0572,0.0035427293064876,0.9983428559567666
525,16,316.6846,0.0010447427293064,0.9676220269072368
505,126,318.5804,0.0017552572706935,0.9796453988702604
512,104,223.8903,6.39821029082774e-05,0.9969153610471896
517,163,339.1374,0.0016787472035794,0.9760417726106332
545,169,138.0524,5.92841163310962e-05,0.992080898434604
518,9,100.2038,0.0028246085011185,0.9962601552533544
506,39,306.6789,0.0018702460850111,0.853467767232158
519,17,194.074,0.0002738255033557,0.9865158720490356
501,160,126.1824,0.0014033557046979,0.9896168009590572
513,42,71.475,6.711409395973154e-07,0.9520108643069431
501,61,51.5134,0.0024465324384787,0.9884977030740956
497,116,18.2392,1.1185682326621925e-06,0.8401136950252355
517,193,24.6787,0.0037389261744966,0.8431356454811413
541,12,86.2682,0.000110514541387,0.9909816486576968
548,0,234.1154,0.0024201342281879,0.96778097407702
513,136,306.2793,0.0,0.712993554165354
517,15,287.2753,0.0015161073825503,0.868499379427244
497,169,329.834,0.0,0.6779670221213977
497,98,321.8531,0.0027219239373601,0.9968570962972828
506,46,70.2621,0.0003149888143176,0.993097380382746
545,73,146.4508,0.0001722595078299,0.9980596429313976
505,129,30.409,0.003041610738255,0.9700495002511688
494,1,126.2362,0.0016456375838926,0.7738326615543093
513,40,350.1481,1.3422818791946309e-06,0.9438740261718104
518,22,96.7409,0.0016796420581655,0.9970003604881528
535,13,149.7996,0.0007136465324384,0.8041986694053244
506,24,210.3569,0.0014979865771812,0.940867468310139
517,178,91.9241,0.0021885906040268,0.9811397672536024
504,176,196.9702,0.0,0.4266592945252155
548,121,230.6045,0.003600447427293,0.8298105346680895
501,221,124.3057,0.0010212527964205,0.9741381299152054
521,53,17.2572,0.0005241610738255,0.9217289187162414
517,96,208.765,0.0013053691275167,0.9957572080186896
513,51,69.5139,0.0021017897091722,0.9826630954366664
493,40,74.1986,0.0034702460850111,0.998693029067968
545,170,166.4141,0.0035695749440715,0.9922149950775552
505,37,273.1268,0.0006060402684563,0.9932503851526716
511,7,138.9898,0.0007489932885906,0.90261514555836
494,19,356.381,0.0004988814317673,0.8196606688992651
494,34,140.9423,0.0037413870246085,0.9992288595044104
504,135,15.5494,0.0,0.5604859981890621
505,138,258.1031,9.328859060402686e-05,0.9628253291472438
501,168,275.644,0.0017859060402684,0.9494613076382392
515,10,251.3314,4.47427293064877e-07,0.7516914914132962
492,13,114.6253,0.0,0.9428747611013945
548,2,142.2775,0.0018673378076062,0.91981581368904
492,5,222.14,0.0,0.9257971970857783
518,1,136.6559,0.0028975391498881,0.9744163096777952
493,39,6.8181,0.0015100671140939,0.9972200232447682
519,92,76.8715,0.0018485458612975,0.9667009551123812
512,113,196.1784,0.0,0.1906882953508732
497,192,201.8652,6.711409395973154e-07,0.947857887963014
512,112,111.8752,0.0,0.4178119925043806
548,20,152.5906,7.606263982102909e-05,0.9426637321043954
517,16,282.3788,0.0,0.3742526107405512
526,95,3.2853,0.0010818791946308,0.997526863918136
548,3,185.4327,0.0031995525727069,0.9516101662118804
517,123,240.9832,0.0012136465324384,0.8421575324750364
519,84,27.5135,0.00178322147651,0.9828169892419268
506,19,187.6232,0.0,0.4677383178043936
497,140,71.4267,0.0001239373601789,0.5369107974284625
545,169,31.9563,0.000917673378076,0.988326660139991
555,173,119.6636,0.0005901565995525,0.7447595169848544
565,94,17.8648,9.463087248322146e-05,0.9367349446589494
497,93,87.3945,0.0036527964205816,0.997147344455116
505,11,56.775,0.0,0.9471888256717216
519,3,323.3141,0.0006053691275167,0.9924237000446255
519,27,209.1063,6.442953020134228e-05,0.9883845373530872
504,97,187.5334,0.0002114093959731,0.9457751899899786
545,84,99.3309,0.0034467561521252,0.8643786410824095
497,23,174.773,0.0020183445190156,0.4811881737620584
501,102,272.2867,0.0002565995525727,0.9951378579325292
504,95,189.4015,0.0036091722595078,0.9954531329721692
565,31,143.0059,0.0029384787472035,0.8469408111019332
515,12,240.7643,0.0,0.4010090200312058
517,125,257.4136,0.0033782997762863,0.9968800820509078
545,75,67.8877,0.0015434004474272,0.98571885801616
545,177,295.6193,0.0001456375838926,0.8636948804571917
505,85,65.0803,0.0,0.7025989050364728
497,213,196.1471,0.0,0.4192268238240064
497,135,312.8142,0.0,0.5558972686731055
526,9,253.4045,0.0022548098434004,0.8932984635518708
513,179,30.3435,0.0008357941834451,0.7336972137037968
497,136,15.5938,0.0,0.4819989840989846
526,31,225.6234,0.0,0.6793090965473507
517,122,260.6321,0.0,0.3762712904168383
545,163,117.1774,0.0008476510067114,0.9683066081753168
513,96,174.6692,8.948545861297539e-07,0.8071369843779332
497,175,159.1487,0.0010709172259507,0.9506352659626602
526,42,96.2918,0.0009736017897091,0.946982206053236
517,95,343.4102,0.0031250559284116,0.9896044563033348
565,97,48.2108,0.0010691275167785,0.9974850512202154
513,179,124.2099,1.5659955257270692e-06,0.2147937716661332
565,36,221.114,0.0022442953020134,0.9011077083102488
508,49,206.1188,0.0008331096196868,0.855205060490973
519,17,346.1932,0.0002087248322147,0.9512215190446326
520,3,125.4421,0.0035384787472035,0.939689320665787
493,119,163.8331,0.0011118568232662,0.9395263048984857
548,127,318.2323,0.0001375838926174,0.9561957571658776
497,140,343.0705,0.0013472035794183,0.8437312837709081
519,118,66.5543,0.0002393736017897,0.9620094185754592
534,3,339.7807,0.0009514541387024,0.9600493738478107
519,151,287.0471,0.0001740492170022,0.8982324485044338
505,94,295.9414,6.510067114093959e-05,0.993590144672872
513,91,279.0129,0.0035979865771812,0.9501985986447886
517,190,209.9191,0.0028078299776286,0.8388610484901956
501,169,183.5756,0.0020557046979865,0.9796514374630972
513,54,93.5886,0.0,0.6989620790817126
518,7,123.3711,0.0026082774049217,0.9281639968736466
565,122,226.3559,0.001496644295302,0.9755805452949028
512,92,260.9433,0.001959284116331,0.9866135337324162
508,54,174.6246,0.0017040268456375,0.9555944355942784
513,127,273.7362,0.0003413870246085,0.9977003344779266
555,94,47.3441,0.0003923937360178,0.980715203077364
521,12,163.3287,0.0003091722595078,0.9191688278821828
497,170,20.9067,0.0,0.6723409862916917
497,116,320.3898,2.237136465324385e-07,0.8108250007667342
504,82,316.3829,0.0,0.7903263479272827
517,179,305.5312,0.0011527964205816,0.986429134728734
517,123,106.2246,0.0013498881431767,0.8469454414110582
492,10,275.5436,0.0,0.901265625325076
508,40,231.349,0.0033776286353467,0.9926228838661408
494,21,29.9901,0.0009912751677852,0.9332546312970548
504,116,93.436,0.0011181208053691,0.9871343703983247
521,6,137.4369,0.0018306487695749,0.9949134636304894
519,23,291.537,0.000124384787472,0.9962632946958048
517,164,352.1188,0.0006747203579418,0.925593052802312
505,73,341.1273,0.0035664429530201,0.9918393450281652
504,165,165.6898,0.0016624161073825,0.9633181462747926
555,23,15.5465,0.0023961968680089,0.9023026318984434
497,108,283.1734,0.0006923937360178,0.6201762967868836
525,12,42.5038,0.0027407158836689,0.9969674333700596
565,96,196.0902,0.0010539149888143,0.985444314308778
517,196,41.3851,2.237136465324385e-07,0.5942467786106758
545,108,172.694,0.0002017897091722,0.6220364219437602
513,178,312.6778,0.0005234899328859,0.7692232934617038
519,43,83.7563,0.0003548098434004,0.984808374192332
505,133,107.5586,0.0006219239373601,0.917736123092374
565,158,254.6855,0.001021029082774,0.9982665693282632
504,65,315.1424,0.0033319910514541,0.9739392681281244
545,171,181.4609,0.001086577181208,0.9914042520437368
513,125,266.6857,0.0007342281879194,0.9977356583713204
517,194,170.7246,0.0017436241610738,0.9876864696070088
504,135,329.675,0.0008091722595078,0.6855406829228585
510,15,105.5671,0.0022136465324384,0.9805927336357552
555,43,12.6944,0.0030568232662192,0.992435959045772
513,103,327.5306,0.0027286353467561,0.9884086628648254
493,45,121.5233,0.0002246085011185,0.9951075033494308
541,6,28.5779,0.0001255033557046,0.9691454988895806
513,73,55.3743,0.0009597315436241,0.9902335412293224
494,43,119.5941,0.0019331096196868,0.9436744943928672
493,110,78.2703,0.0007519015659955,0.9020423674525062
513,188,314.8544,0.0008033557046979,0.990410981092944
498,2,172.9065,0.0,0.7434231113341518
493,123,99.6343,0.0020953020134228,0.9774748225913512
505,88,312.566,0.0036563758389261,0.9958396881931166
548,163,95.5701,0.0034404921700223,0.9725610880847426
517,94,188.8198,0.0,0.3154360612430502
501,89,98.9062,0.0008241610738255,0.955961666206856
518,3,335.9342,1.3422818791946309e-06,0.9396741159623936
513,62,247.1966,2.237136465324385e-07,0.8024389800889966
497,124,310.9124,0.0008228187919463,0.995794363658846
