exp,file_num,t_entry,motion_pre,arrival_calls,mean,std,p05,p25,dark_abs,skew
496,5,160.7443,4.47427293064877e-07,4,116.7142105102539,64.16658782958984,14.0,63.0,0.2345364583333333,-0.1083998903632164
496,10,46.5371,3.131991051454139e-06,1,114.7666473388672,60.092472076416016,12.0,65.0,0.2304645833333333,-0.2031801342964172
497,6,181.8306,0.0022503355704697,6,115.29850006103516,61.02872467041016,12.0,66.0,0.2171640625,-0.0995623916387558
497,25,294.9167,0.0018295302013422,0,112.57369995117188,61.68473434448242,12.0,61.0,0.2451677083333333,-0.0498666279017925
497,63,187.2217,0.0027015659955257,0,108.1773910522461,58.14741134643555,12.0,60.0,0.2462744791666666,-0.0550564490258693
497,93,210.4097,0.0021617449664429,13,110.14715576171876,58.78767395019531,12.0,63.0,0.2362286458333333,-0.0949515849351883
497,108,214.7004,0.0019089485458612,4,118.6641845703125,61.08677673339844,14.0,68.0,0.2094890625,-0.2319767028093338
497,114,143.4649,4.47427293064877e-07,0,115.85768127441406,59.80867385864258,12.0,72.0,0.1988328125,-0.1507874280214309
497,122,120.8331,6.711409395973154e-07,5,116.12696838378906,63.81813049316406,12.0,63.0,0.2355536458333333,-0.0759591609239578
497,134,193.3365,0.0,0,118.80059814453124,59.86705780029297,13.0,73.0,0.1941552083333333,-0.2722116708755493
497,141,109.3422,0.0001608501118568,0,115.7574462890625,58.813385009765625,12.0,71.0,0.1961796875,-0.2257198244333267
497,156,185.0002,8.053691275167787e-06,0,112.09138488769533,59.56757354736328,12.0,65.0,0.2219989583333333,-0.1000229567289352
497,166,171.5497,0.0026894854586129,2,120.8779067993164,63.23022079467773,14.0,70.0,0.208871875,-0.2250445187091827
497,172,195.0527,0.0037042505592841,5,108.90266418457033,58.39354705810547,12.0,64.0,0.2348307291666666,-0.0684867203235626
497,176,164.7465,2.237136465324385e-07,6,110.8348388671875,59.85797119140625,12.0,64.0,0.2306536458333333,-0.039181500673294
497,195,8.8744,0.0,2,111.97997283935548,57.05614471435547,12.0,71.0,0.2011203125,-0.1552033275365829
497,200,250.3884,0.001793288590604,3,115.83731842041016,60.956329345703125,12.0,71.0,0.206584375,-0.0855202972888946
497,209,136.2964,2.863534675615212e-05,1,116.5352554321289,60.92479705810547,13.0,68.0,0.2113640625,-0.1532068401575088
498,1,104.2017,0.0,0,120.97598266601562,61.65716552734375,14.0,72.0,0.2027973958333333,-0.2767242789268493
499,0,334.4812,2.5727069351230423e-05,7,113.23497009277344,57.09072494506836,12.0,71.0,0.2021739583333333,-0.2086931765079498
499,16,79.9869,0.0017630872483221,4,107.58019256591795,59.09902572631836,12.0,60.0,0.2477354166666666,0.0216116178780794
501,22,242.7207,0.0004060402684563,5,111.42566680908205,57.1367416381836,12.0,70.0,0.2096088541666666,-0.1156634539365768
501,62,153.7741,0.0019480984340044,11,107.7124481201172,56.5970344543457,11.0,66.0,0.2196697916666666,-0.0062505020759999
501,89,216.3293,0.0025762863534675,6,115.77449035644533,58.99848556518555,12.0,72.0,0.2056880208333333,-0.1657707244157791
501,111,63.097,0.0,0,120.26457977294922,57.92567825317383,12.0,80.0,0.1729510416666666,-0.3353635668754577
501,119,127.4755,1.0290827740492173e-05,5,110.81035614013672,54.6036376953125,12.0,73.0,0.188178125,-0.1624230295419693
501,131,154.5794,2.147651006711409e-05,0,116.6436996459961,59.05096435546875,12.0,73.0,0.1923734375,-0.1623030602931976
501,135,239.8181,0.0018749440715883,1,118.75457000732422,60.872291564941406,12.0,72.0,0.1993291666666666,-0.1808042079210281
501,159,278.551,1.230425055928412e-05,4,113.0267333984375,58.36357116699219,12.0,70.0,0.2100979166666666,-0.1222831308841705
501,166,312.8658,0.0003536912751677,7,113.7195281982422,57.66512298583984,12.0,72.0,0.1866026041666666,-0.0725774466991424
501,173,279.5475,0.0008237136465324,1,111.09770965576172,58.188133239746094,12.0,67.0,0.2215822916666666,-0.0755680948495864
501,186,31.6195,0.001189932885906,9,113.46893310546876,54.992488861083984,12.0,75.0,0.1755973958333333,-0.2330239713191986
501,201,305.1472,0.0011015659955257,11,109.7941665649414,54.26007080078125,11.0,72.0,0.1886802083333333,-0.138922169804573
501,208,298.6412,0.0036203579418344,10,113.90499877929688,57.23076248168945,12.0,72.0,0.18436875,-0.1512378007173538
501,221,196.9475,0.0036024608501118,8,104.92102813720705,53.76615524291992,11.0,67.0,0.2072546875,0.0243482775986194
504,8,157.9101,2.460850111856824e-06,0,106.31901550292967,56.945011138916016,12.0,61.0,0.2416541666666666,0.0154559537768363
504,9,61.3247,1.2304250559284115e-05,0,105.24864959716795,56.551570892333984,11.0,61.0,0.2432036458333333,0.0457968935370445
504,11,18.3389,0.001834899328859,2,97.04309844970705,56.84976577758789,9.0,50.0,0.2958375,0.2136692851781845
504,37,332.7648,0.0021093959731543,0,94.13923645019533,56.547794342041016,8.0,51.0,0.3121208333333333,0.3581721484661102
504,52,299.1582,0.0021369127516778,0,97.9128189086914,57.20552062988281,9.0,53.0,0.2915385416666666,0.2780245840549469
504,65,331.5284,0.0012409395973154,0,101.00656127929688,55.808204650878906,10.0,58.0,0.2619671875,0.1504191607236862
504,68,30.9927,1.7897091722595078e-06,0,97.97748565673828,55.429141998291016,9.0,54.0,0.2793395833333333,0.2338559478521347
504,71,313.0245,0.0006290827740492,0,95.64915466308594,55.4217529296875,9.0,52.0,0.2928510416666666,0.30009326338768
504,87,147.121,2.1923937360178965e-05,0,94.52706146240234,55.87530517578125,8.0,51.0,0.3067119791666666,0.3392651379108429
504,99,7.1985,0.0009199105145413,4,98.2673568725586,55.37332534790039,9.0,56.0,0.2746182291666666,0.2279560267925262
504,113,157.0011,1.2304250559284115e-05,12,98.40126037597656,56.23250198364258,9.0,54.0,0.2886890625,0.2289314717054367
504,123,262.2967,0.0,4,107.39622497558594,55.96290588378906,12.0,64.0,0.2345401041666666,-0.051118217408657
504,130,183.3172,0.0,7,113.2610855102539,58.15304565429688,12.0,67.0,0.2085171875,-0.1479211449623108
504,137,232.7781,0.0035331096196868,0,113.36024475097656,58.32648849487305,14.0,64.0,0.2323994791666666,-0.1737354695796966
504,151,115.965,2.2818791946308727e-05,0,110.4245834350586,60.450904846191406,12.0,58.0,0.2566359375,-0.0627603828907013
504,169,168.672,0.0028859060402684,1,109.79688262939452,59.339962005615234,12.0,59.0,0.2511973958333333,-0.0636759623885154
504,183,295.1042,7.539149888143177e-05,1,111.3148193359375,56.35580825805664,12.0,70.0,0.2023619791666666,-0.1260076612234115
504,193,69.6809,6.263982102908277e-06,3,108.18030548095705,57.23207092285156,12.0,65.0,0.2194541666666666,0.0412159077823162
505,4,94.4925,0.0005767337807606,4,105.83390045166016,54.4765510559082,11.0,65.0,0.2231869791666666,-0.007118260487914
505,7,265.4016,0.0,0,111.1438980102539,56.9318733215332,12.0,70.0,0.2049526041666666,-0.0871840715408325
505,13,22.0077,0.0008814317673378,0,106.10401153564452,56.14780807495117,12.0,63.0,0.2317885416666666,0.0301868226379156
505,23,131.7753,1.2527964205816554e-05,4,104.11875915527344,56.20159530639648,11.0,63.0,0.231703125,0.1296750605106353
505,63,286.1062,8.94854586129754e-06,10,104.23668670654295,55.53260040283203,11.0,63.0,0.2349755208333333,0.0537590011954307
505,83,354.0131,0.0037530201342281,0,100.7453155517578,54.55989837646485,10.0,60.0,0.2483140625,0.1500742584466934
505,88,195.9421,5.592841163310963e-06,0,101.41425323486328,55.52560424804688,10.0,59.0,0.2550619791666667,0.1652873158454895
505,124,322.7503,0.0026434004474272,11,103.4328155517578,54.56964874267578,11.0,63.0,0.23858125,0.0380707718431949
505,132,93.0753,0.0034612975391498,5,100.37135314941406,54.85100555419922,10.0,60.0,0.247575,0.1668811738491058
505,156,171.8673,0.0,0,112.30684661865234,57.6024169921875,12.0,67.0,0.214665625,-0.1256511211395263
505,168,212.3216,0.0,0,113.71739959716795,57.99484634399414,12.0,68.0,0.2187604166666666,-0.1992450058460235
505,185,40.3739,0.0014501118568232,0,111.56500244140624,58.69799423217773,12.0,68.0,0.2076046875,0.0143942339345812
506,14,289.2489,5.816554809843401e-06,4,107.52944946289062,56.96226119995117,12.0,64.0,0.2275635416666666,0.0046172179281711
506,20,264.1148,0.0005409395973154,0,105.27476501464844,55.29777526855469,11.0,65.0,0.2216036458333333,0.0275425799190998
506,33,245.4254,7.158836689038031e-06,5,109.70071411132812,56.26348114013672,12.0,70.0,0.1978447916666666,-0.0499062798917293
506,45,253.3337,0.000186577181208,4,103.84300231933594,55.880645751953125,11.0,61.0,0.2431630208333333,0.0927029475569725
506,58,264.4298,0.0,5,110.26284790039062,56.37262344360352,12.0,68.0,0.2089770833333333,-0.0971079096198082
508,17,39.0112,0.0024863534675615,13,102.11116027832033,55.390018463134766,10.0,61.0,0.24103125,0.1171724945306778
508,40,231.349,0.0033776286353467,0,105.4772720336914,59.127349853515625,11.0,59.0,0.252196875,0.1817020624876022
508,56,97.9701,0.000128187919463,0,104.3116683959961,57.10292434692383,11.0,59.0,0.2507385416666666,0.0456020198762416
508,60,162.1456,0.0003519015659955,11,102.4988250732422,55.255855560302734,10.0,60.0,0.2456161458333333,0.0886192843317985
508,84,127.4803,1.5659955257270695e-05,3,106.51333618164062,55.98982620239258,11.0,64.0,0.2297770833333333,0.0051705534569919
509,18,260.9219,0.0020185682326621,7,102.47942352294922,54.7376823425293,10.0,61.0,0.2427020833333333,0.0882106274366378
