exp,file_num,t_entry,motion_pre,arrival_calls,cat
492,2,139.0555,0.0071172259507829,0,active
492,2,169.0795,0.0,0,empty
492,2,203.0412,0.0,0,empty
492,3,147.0253,0.0,0,empty
492,4,192.4373,2.237136465324385e-07,0,empty
492,5,222.14,0.0,0,empty
492,5,325.3982,0.0,0,empty
492,6,216.3495,0.0,0,empty
492,6,266.4432,0.0,0,empty
492,7,165.297,0.0,0,empty
492,9,318.6932,0.0168782997762863,5,active
492,10,32.9684,0.0066890380313199,6,active
492,10,190.38,0.0,4,empty
492,10,257.5724,0.0,0,empty
492,10,275.5436,0.0,0,empty
492,10,308.0485,0.0,0,empty
492,11,217.8941,1.3422818791946309e-06,1,empty
492,11,322.6529,0.0,1,empty
492,12,131.8405,0.0,3,empty
492,12,286.9691,1.3422818791946309e-06,1,empty
492,13,114.6253,0.0,0,empty
492,13,302.3917,0.0134451901565995,15,active
492,14,181.4845,0.0103098434004474,0,active
492,14,204.717,0.016710514541387,1,active
492,14,216.9394,0.0282574944071588,0,active
492,14,305.7546,0.0069977628635346,3,active
492,14,343.9219,0.0,0,empty
492,14,346.8405,0.0082498881431767,0,active
492,15,85.6822,0.0108158836689038,0,active
492,15,100.727,0.0181373601789709,9,active
492,15,193.5276,0.0183776286353467,4,active
492,15,222.4171,0.008893288590604,0,active
492,15,234.2294,0.0311389261744966,10,active
492,15,239.7398,0.0413436241610738,9,active
492,16,40.97,0.0212393736017897,0,active
492,16,147.0562,0.0256977628635346,1,active
492,20,87.3529,0.0003731543624161,1,sleeping
493,1,205.5887,0.0057096196868008,0,active
493,3,77.0035,1.8568232662192395e-05,9,sleeping
493,3,117.0647,0.0035577181208053,3,sleeping
493,3,323.616,0.0086809843400447,9,active
493,6,108.1893,0.048934899328859,10,active
493,6,314.3011,0.0120306487695749,0,active
493,7,8.4704,0.0307834451901566,5,active
493,7,40.2971,0.0239883668903803,8,active
493,7,66.8936,0.0236492170022371,11,active
493,7,117.0193,0.0111147651006711,3,active
493,7,122.0921,0.0251369127516778,3,active
493,7,161.3181,0.0181534675615212,2,active
493,7,164.8769,0.027831543624161,1,active
493,7,317.1537,0.0152586129753914,5,active
493,8,97.9474,0.009548322147651,5,active
493,8,99.1566,0.0131295302013422,9,active
493,8,130.2449,0.00405548098434,10,active
493,8,167.1502,0.009497091722595,8,active
493,8,189.7599,0.001707158836689,2,sleeping
493,8,200.4141,0.0350046979865771,6,active
493,8,337.2831,0.0181387024608501,2,active
493,9,79.3553,0.0056324384787472,2,active
493,9,120.3022,0.0044357941834451,5,active
493,10,16.5641,0.0042149888143176,3,active
493,10,85.903,0.0100017897091722,5,active
493,10,145.1353,0.0053369127516778,6,active
493,10,155.2188,0.0153704697986577,10,active
493,10,163.9812,0.0276373601789709,4,active
493,11,112.5157,0.0026829977628635,1,sleeping
493,11,135.3003,0.0153563758389261,15,active
493,11,209.1382,0.0076964205816554,15,active
493,11,272.9099,0.0136935123042505,12,active
493,12,34.2527,0.0093239373601789,7,active
493,12,110.7566,0.0018064876957494,0,sleeping
493,12,134.6919,0.002531096196868,4,sleeping
493,12,161.786,0.0063098434004474,3,active
493,12,231.8181,3.914988814317673e-05,8,sleeping
493,12,232.4698,0.0014324384787472,8,sleeping
493,12,240.3902,0.0085261744966442,1,active
493,12,298.5575,3.064876957494407e-05,1,sleeping
493,12,302.0014,0.0076825503355704,2,active
493,12,321.7821,0.0170677852348993,0,active
493,12,340.1183,0.0151196868008948,0,active
493,13,48.7421,0.0155926174496644,1,active
493,13,51.2291,0.0174939597315436,6,active
493,13,95.4338,0.0246876957494407,4,active
493,13,182.2509,0.0050165548098434,2,active
493,13,189.2643,0.0077751677852349,2,active
493,13,215.3264,0.0068458612975391,0,active
493,13,298.598,0.0013572706935123,6,sleeping
493,13,338.6574,0.0129366890380313,1,active
493,14,55.11,0.0027753914988814,0,sleeping
493,14,125.7895,0.0098872483221476,4,active
493,14,201.8478,0.0198881431767337,8,active
493,15,58.8494,0.0065375838926174,2,active
493,15,118.2102,0.0187131991051454,4,active
493,15,174.5788,0.0086595078299776,1,active
493,15,188.2174,0.0070680089485458,0,active
493,15,198.0223,0.0016648769574944,0,sleeping
493,15,228.6399,0.001507158836689,6,sleeping
493,15,239.1699,0.0008809843400447,0,sleeping
493,15,275.0213,0.0041787472035794,0,active
493,15,319.6145,0.0149255033557046,0,active
493,15,336.3404,0.0054489932885906,2,active
493,15,356.11,0.0042512304250559,0,active
493,16,12.6229,0.0033080536912751,0,sleeping
493,16,25.0459,0.0010615212527964,4,sleeping
493,16,33.6465,0.0035684563758389,0,sleeping
493,16,49.8686,1.968680089485459e-05,0,sleeping
493,16,54.8246,0.0100959731543624,3,active
493,16,64.7611,0.0068510067114093,0,active
493,16,98.6745,3.3557046979865773e-06,7,sleeping
493,16,102.7494,0.0085111856823266,12,active
493,16,112.4482,0.0065961968680089,3,active
493,16,168.8607,0.042617673378076,6,active
493,16,285.0439,0.0087451901565995,4,active
493,16,343.0415,0.0157961968680089,2,active
493,17,239.0834,0.0188402684563758,6,active
493,17,313.2343,0.0074042505592841,3,active
493,17,330.5605,0.0113129753914988,0,active
493,18,18.2694,0.0054648769574944,1,active
493,20,224.1123,0.0342731543624161,13,active
493,20,351.4565,0.0191120805369127,16,active
493,21,21.3919,0.003262639821029,7,sleeping
493,21,54.1731,0.0183409395973154,9,active
493,21,73.1264,0.0119152125279642,12,active
493,21,79.3578,0.0167753914988814,6,active
493,21,96.2416,0.0091230425055928,14,active
493,21,105.708,0.0162812080536912,9,active
493,21,114.616,0.0031476510067114,6,sleeping
493,21,134.5528,0.0058328859060402,7,active
493,21,152.3277,0.0004527964205816,3,sleeping
493,21,158.0167,0.0082085011185682,7,active
493,21,185.4504,9.395973154362417e-05,5,sleeping
493,21,219.4809,0.0097357941834451,5,active
493,22,21.4155,0.0078684563758389,6,active
493,22,67.2519,0.0175228187919463,6,active
493,22,247.7027,0.0071015659955257,7,active
493,26,31.0648,0.0100120805369127,11,active
493,26,76.3569,0.004189932885906,8,active
493,26,96.5264,0.0024583892617449,6,sleeping
493,26,108.5243,0.0074921700223713,11,active
493,26,114.9285,0.0218505592841163,8,active
493,26,121.1546,0.0313161073825503,4,active
493,26,123.5254,0.0284789709172259,4,active
493,26,174.1286,0.0084700223713646,3,active
493,26,196.4705,0.0213686800894854,1,active
493,26,283.4724,0.001945413870246,10,sleeping
493,26,294.0275,0.0023049217002237,7,sleeping
493,26,301.2229,0.0060639821029082,2,active
493,26,329.8408,0.008893736017897,0,active
493,27,102.9377,0.0209706935123042,0,active
493,27,138.5496,0.0058541387024608,0,active
493,27,149.513,0.0043666666666666,3,active
493,27,183.531,0.01278322147651,10,active
493,27,248.9864,0.01898322147651,5,active
493,27,252.1383,0.0189460850111856,7,active
493,27,264.5539,0.0214630872483221,2,active
493,27,348.6794,0.0086722595078299,6,active
493,28,56.3483,0.0032136465324384,9,sleeping
493,28,245.5621,0.0310856823266219,3,active
493,28,268.0336,0.0335472035794183,1,active
493,28,342.2668,0.0304346756152125,2,active
493,29,6.492,0.0325796420581655,6,active
493,29,25.6458,0.030165548098434,5,active
493,29,46.3672,0.0178950782997762,5,active
493,29,77.6119,0.0380261744966443,5,active
493,29,100.1297,0.027276062639821,1,active
493,29,120.59,0.0327091722595078,1,active
493,29,135.194,0.0165780760626398,0,active
493,29,145.7876,0.0266910514541387,7,active
493,29,147.8099,0.0333695749440715,0,active
493,29,157.4386,0.0371246085011185,6,active
493,29,166.0652,0.0418720357941834,1,active
493,29,195.5682,0.0323076062639821,1,active
493,30,12.5562,0.0265237136465324,4,active
493,30,29.0426,0.0052360178970917,0,active
493,30,43.1805,0.0112534675615212,0,active
493,30,50.6874,0.0130463087248322,0,active
493,30,78.1066,0.0199590604026845,0,active
493,30,91.4452,0.0199527964205816,1,active
493,30,120.8128,0.0438384787472035,4,active
493,30,122.4,0.0461031319910514,9,active
493,30,230.91,0.0129201342281879,0,active
493,30,243.5473,0.0267854586129753,8,active
493,30,245.4731,0.0319961968680089,5,active
493,30,252.4394,0.0342541387024608,1,active
493,31,157.4801,0.0061194630872483,3,active
493,31,293.5041,0.0071364653243847,7,active
493,31,322.3557,0.011097091722595,0,active
493,32,23.3746,0.0036559284116331,5,sleeping
493,32,48.5907,0.0059378076062639,8,active
493,32,103.6399,0.0081919463087248,2,active
493,32,146.5274,0.0039472035794183,0,active
493,32,158.5117,0.0077364653243847,8,active
493,32,177.6737,0.0038568232662192,3,active
493,32,270.7944,0.0038919463087248,0,active
493,32,300.3083,0.0051333333333333,1,active
493,32,348.6495,0.0103510067114094,5,active
493,33,1.7677,0.0186214765100671,1,active
493,33,26.8851,0.0064451901565995,0,active
493,33,39.3525,0.0085492170022371,17,active
493,33,52.7529,0.0244532438478747,1,active
493,33,71.5998,0.0177854586129753,5,active
493,33,79.0711,0.0210982102908277,2,active
493,33,97.426,0.0230089485458612,2,active
493,33,114.373,0.0154552572706935,4,active
493,33,176.2112,0.0162532438478747,7,active
493,33,184.0668,0.0253570469798657,6,active
493,33,189.329,0.0251118568232662,6,active
493,33,232.7782,0.0305212527964205,9,active
493,33,236.535,0.0324107382550335,6,active
493,33,258.8663,0.0263299776286353,3,active
493,33,276.6783,0.0210548098434004,8,active
493,33,337.5293,0.0227478747203579,5,active
493,33,339.2757,0.0314552572706935,2,active
493,34,35.0491,0.0300608501118568,3,active
493,34,49.0568,0.0308201342281879,4,active
493,34,104.3213,0.0373217002237136,0,active
493,34,314.2949,0.0241731543624161,4,active
493,34,322.7679,0.0117393736017897,5,active
493,34,346.4031,0.0299114093959731,0,active
493,35,36.681,0.0231897091722595,1,active
493,35,203.9922,0.012241610738255,16,active
493,36,174.5427,0.0034076062639821,1,sleeping
493,36,221.883,5.1454138702460855e-06,0,sleeping
493,36,276.9013,0.0105418344519015,1,active
493,36,280.2915,0.0098029082774049,9,active
493,36,357.9006,0.0150460850111856,0,active
493,37,52.8031,0.0175261744966442,4,active
493,37,89.45,0.0029545861297539,0,sleeping
493,37,254.6756,1.812080536912752e-05,0,sleeping
493,37,297.1721,0.0064375838926174,3,active
493,37,343.6065,0.0097098434004474,1,active
493,38,25.532,4.47427293064877e-07,0,sleeping
493,38,51.4055,0.0066344519015659,0,active
493,38,210.5936,0.0030590604026845,0,sleeping
493,38,227.5925,0.0038829977628635,0,active
493,39,6.8181,0.0015100671140939,9,sleeping
493,39,87.6163,0.0063852348993288,9,active
493,40,74.1986,0.0034702460850111,9,sleeping
493,41,260.3762,0.0027395973154362,2,sleeping
493,44,22.7822,0.001865548098434,7,sleeping
493,44,196.7464,0.0031469798657718,5,sleeping
493,45,121.5233,0.0002246085011185,0,sleeping
493,45,238.4847,0.0069666666666666,7,active
493,45,286.1999,0.002482774049217,6,sleeping
493,46,130.9146,0.0031856823266219,5,sleeping
493,47,192.6824,0.0054744966442953,3,active
493,47,230.0726,0.0045561521252796,0,active
493,47,260.6384,0.010689932885906,0,active
493,47,281.4566,0.0076485458612975,4,active
493,48,115.511,0.006779418344519,7,active
493,49,84.0773,0.0104480984340044,6,active
493,50,35.1795,0.0025026845637583,11,sleeping
493,50,88.1954,0.0098073825503355,9,active
493,50,188.0764,0.0090809843400447,5,active
493,50,333.2811,0.0013767337807606,10,sleeping
493,51,89.7956,0.000865548098434,1,sleeping
493,51,165.1395,0.0104682326621923,10,active
493,52,6.403,0.0004011185682326,13,sleeping
493,52,269.3833,0.0101953020134228,0,active
493,52,354.6169,0.0017503355704697,0,sleeping
493,53,2.8744,0.0076371364653243,1,active
493,54,54.5408,0.0240107382550335,5,active
493,54,319.1547,0.0038389261744966,5,active
493,54,342.9081,0.013059284116331,7,active
493,56,168.7355,0.0225926174496644,14,active
493,56,325.5171,0.0054563758389261,0,active
493,58,55.6693,1.2975391498881432e-05,3,sleeping
493,58,82.3431,0.0016953020134228,0,sleeping
493,58,119.0869,0.0222901565995525,1,active
493,75,27.7129,0.0194514541387024,9,active
493,76,44.9619,0.0035615212527964,6,sleeping
493,86,142.9522,0.0010825503355704,7,sleeping
493,86,211.0865,0.001300447427293,8,sleeping
493,86,226.5099,0.0056901565995525,9,active
493,86,267.9749,0.0082543624161073,0,active
493,87,267.4159,0.0100270693512304,8,active
493,87,318.2062,0.0126829977628635,2,active
493,88,49.4711,0.0072156599552572,0,active
493,88,83.8233,0.0240239373601789,7,active
493,88,224.6839,0.017213870246085,6,active
493,90,37.5719,0.0018946308724832,5,sleeping
493,90,64.2887,0.0198266219239373,4,active
493,90,108.547,0.0047787472035794,0,active
493,90,118.9118,0.001879418344519,0,sleeping
493,90,178.8613,0.0048221476510067,1,active
493,90,186.5439,0.0119910514541387,0,active
493,90,278.2422,0.0032308724832214,3,sleeping
493,90,308.6303,0.0076299776286353,4,active
493,91,95.5246,0.0124751677852349,1,active
493,91,118.6471,0.0242986577181208,6,active
493,91,169.133,0.0114326621923937,7,active
493,92,79.924,0.0030375838926174,2,sleeping
493,92,95.7128,0.0132630872483221,0,active
493,92,152.5365,0.0184087248322147,3,active
493,92,207.6766,0.0218744966442953,2,active
493,93,110.2147,0.0144496644295302,1,active
493,93,214.4614,0.025800447427293,3,active
493,93,235.7123,0.0258387024608501,1,active
493,93,293.9403,0.0219720357941834,9,active
493,94,248.6449,0.0106355704697986,16,active
493,96,1.175,0.018131543624161,8,active
493,97,13.6379,4.47427293064877e-07,2,sleeping
493,97,27.51,0.0031286353467561,8,sleeping
493,97,202.2848,0.0072543624161073,4,active
493,97,213.8878,0.0159973154362416,2,active
493,97,307.7025,0.0091740492170022,0,active
493,98,96.3965,0.0007534675615212,7,sleeping
493,98,206.8112,0.0072436241610738,8,active
493,107,168.5531,0.0060689038031319,5,active
493,108,6.2267,8.859060402684565e-05,10,sleeping
493,109,237.5142,0.0004026845637583,13,sleeping
493,110,78.2703,0.0007519015659955,10,sleeping
493,112,160.7786,3.8031319910514553e-06,7,sleeping
493,113,14.8354,1.0514541387024608e-05,7,sleeping
493,113,45.6551,0.0023545861297539,11,sleeping
493,113,343.7993,0.0114447427293064,6,active
493,114,43.5542,0.0047713646532438,10,active
493,114,106.7989,0.0024494407158836,3,sleeping
493,114,285.99,0.0018961968680089,0,sleeping
493,115,181.6194,0.0025208053691275,4,sleeping
493,115,194.9818,0.0095778523489932,9,active
493,116,37.7078,0.0002803131991051,2,sleeping
493,116,262.0134,6.487695749440716e-06,8,sleeping
493,117,86.5495,0.0037624161073825,10,sleeping
