exp,file_num,t_entry,t_out,in_tunnel,motion_pre,motion_pre_max,still_frac,motion_post,arrival_calls,arrival_rate
492,2,139.0555,143.1,4.044499999999999,0.0071172259507829,0.0492,0.7248322147651006,0.0270514124293785,0,0.0
492,2,169.0795,171.7333,2.653800000000018,0.0,0.0,1.0,0.0291621468926553,0,0.0
492,2,203.0412,204.8333,1.792100000000005,0.0,0.0,1.0,0.0291734463276836,0,0.0
492,3,147.0253,149.0,1.9747000000000128,0.0,0.0,1.0,0.033212429378531,0,0.0
492,4,192.4373,194.0,1.5627000000000066,2.237136465324385e-07,3.3333333333333335e-05,1.0,0.0280830508474576,0,0.0
492,5,222.14,223.6,1.460000000000008,0.0,0.0,1.0,0.0293423728813559,0,0.0
492,5,325.3982,332.7667,7.36850000000004,0.0,0.0,1.0,0.028131638418079,0,0.0
492,6,216.3495,220.0333,3.683799999999991,0.0,0.0,1.0,0.0286231638418079,0,0.0
492,6,266.4432,271.4667,5.023500000000013,0.0,0.0,1.0,0.0329779661016949,0,0.0
492,7,165.297,168.4333,3.1363000000000056,0.0,0.0,1.0,0.0320994350282485,0,0.0
492,9,318.6932,321.7,3.0067999999999984,0.0168782997762863,0.0724666666666666,0.4563758389261745,0.0497084745762711,5,2.0
492,10,32.9684,35.8667,2.898299999999999,0.0066890380313199,0.0412333333333333,0.6711409395973155,0.0693983050847457,6,2.4
492,10,190.38,204.4667,14.086700000000008,0.0,0.0,1.0,0.022083615819209,4,1.6
492,10,257.5724,261.4,3.827599999999961,0.0,0.0,1.0,0.0200757062146892,0,0.0
492,10,275.5436,278.0667,2.5230999999999995,0.0,0.0,1.0,0.0436033898305084,0,0.0
492,10,308.0485,309.1,1.0515000000000327,0.0,0.0,1.0,0.024083615819209,0,0.0
492,11,217.8941,220.7333,2.8392000000000053,1.3422818791946309e-06,3.3333333333333335e-05,1.0,0.0248468926553672,1,0.4
492,11,322.6529,326.8333,4.18040000000002,0.0,0.0,1.0,0.0296440677966101,1,0.4
492,12,131.8405,134.9333,3.092800000000011,0.0,0.0,1.0,0.0293514124293785,3,1.2
492,12,286.9691,289.0333,2.064199999999971,1.3422818791946309e-06,3.3333333333333335e-05,1.0,0.0324107344632768,1,0.4
492,13,114.6253,116.4667,1.8414000000000077,0.0,0.0,1.0,0.0287412429378531,0,0.0
492,13,302.3917,307.1,4.708300000000008,0.0134451901565995,0.0513333333333333,0.4563758389261745,0.0401977401129943,15,6.0
492,14,181.4845,186.5667,5.0822,0.0103098434004474,0.0398333333333333,0.4899328859060403,0.0379446327683615,0,0.0
492,14,204.717,206.7,1.982999999999976,0.016710514541387,0.0521333333333333,0.2281879194630872,0.0383101694915254,1,0.4
492,14,216.9394,224.7,7.760599999999982,0.0282574944071588,0.0787,0.0335570469798657,0.0140610169491525,0,0.0
492,14,305.7546,306.6667,0.9121000000000096,0.0069977628635346,0.0451,0.6845637583892618,0.0268050847457627,3,1.2
492,14,343.9219,344.8,0.8781000000000176,0.0,0.0,1.0,0.0194242937853107,0,0.0
492,14,346.8405,351.8667,5.02619999999996,0.0082498881431767,0.0477,0.6308724832214765,0.0153621468926553,0,0.0
492,15,28.3051,32.4,4.094899999999999,0.0004740492170022,0.0166333333333333,0.9664429530201344,0.0286841807909604,4,1.6
492,15,85.6822,88.7333,3.0511000000000053,0.0108158836689038,0.0758666666666666,0.697986577181208,0.0470401129943502,0,0.0
492,15,100.727,103.2333,2.506299999999996,0.0181373601789709,0.0524,0.087248322147651,0.0433163841807909,9,3.6
492,15,193.5276,195.5667,2.0390999999999906,0.0183776286353467,0.0499333333333333,0.3020134228187919,0.0575909604519774,4,1.6
492,15,222.4171,223.5667,1.1495999999999924,0.008893288590604,0.06,0.5637583892617449,0.0595039548022598,0,0.0
492,15,234.2294,236.0333,1.8038999999999987,0.0311389261744966,0.1078333333333333,0.0805369127516778,0.0482463276836158,10,4.0
492,15,239.7398,240.6667,0.9268999999999892,0.0413436241610738,0.0753,0.0,0.0573796610169491,9,3.6
492,16,40.97,42.8,1.8299999999999983,0.0212393736017897,0.0510666666666666,0.0335570469798657,0.0423129943502824,0,0.0
492,16,147.0562,149.7,2.643799999999999,0.0256977628635346,0.0565333333333333,0.0,0.0566819209039548,1,0.4
492,20,87.3529,108.6333,21.2804,0.0003731543624161,0.0068666666666666,0.9932885906040269,0.0416983050847457,1,0.4
492,21,195.9052,200.2,4.294799999999981,0.0128961968680089,0.0315666666666666,0.0671140939597315,0.0479062146892655,3,1.2
492,21,217.1372,225.5667,8.42949999999999,0.0170288590604026,0.0397,0.1275167785234899,0.0348649717514124,11,4.4
492,21,288.1483,293.5333,5.384999999999991,0.0270304250559284,0.0538666666666666,0.0,0.0484706214689265,2,0.8
493,1,205.5887,206.6333,1.0446000000000026,0.0057096196868008,0.0239666666666666,0.5302013422818792,0.024174011299435,0,0.0
493,3,77.0035,79.8333,2.829799999999992,1.8568232662192395e-05,0.0016333333333333,1.0,0.0153118644067796,9,3.6
493,3,117.0647,119.0667,2.001999999999996,0.0035577181208053,0.0187666666666666,0.6241610738255033,0.0129875706214689,3,1.2
493,3,323.616,324.5,0.8840000000000146,0.0086809843400447,0.0289,0.4295302013422818,0.025767231638418,9,3.6
493,6,108.1893,111.6333,3.4440000000000026,0.048934899328859,0.0759,0.0,0.0598604519774011,10,4.0
493,6,314.3011,332.6333,18.3322,0.0120306487695749,0.0579,0.4697986577181208,0.0390254237288135,0,0.0
493,7,8.4704,9.6333,1.1629000000000005,0.0307834451901566,0.0636333333333333,0.1073825503355704,0.0337079096045197,5,2.0
493,7,40.2971,41.7667,1.4695999999999998,0.0239883668903803,0.0730333333333333,0.0939597315436241,0.0431163841807909,8,3.2
493,7,66.8936,68.4333,1.5396999999999963,0.0236492170022371,0.0822333333333333,0.046979865771812,0.0383079096045197,11,4.4
493,7,117.0193,120.1,3.080699999999993,0.0111147651006711,0.0384666666666666,0.3288590604026846,0.0226587570621468,3,1.2
