exp,file_num,t_entry
493,112,160.7786
493,113,14.8354
493,116,262.0134
493,12,231.8181
493,12,298.5575
493,16,49.8686
493,16,98.6745
493,3,77.0035
493,36,221.8830
493,37,254.6756
493,58,55.6693
494,1,232.4107
494,24,206.3621
494,43,255.5976
494,45,11.0741
494,45,38.6850
494,5,75.8544
496,10,46.5371
496,7,137.5062
496,7,213.1719
497,103,260.5428
497,112,14.0757
497,115,41.2386
497,116,235.2988
497,119,47.0398
497,120,184.3758
497,122,326.1739
497,124,175.1112
497,13,97.8623
497,154,50.5059
497,155,270.6309
497,155,347.5290
497,161,213.3559
497,161,313.5690
497,167,239.7825
497,173,108.4152
497,190,337.6150
497,191,115.9596
497,195,178.1329
497,196,306.0507
497,197,233.0834
497,198,63.1361
497,202,329.1630
497,209,136.2964
497,27,20.8611
497,27,356.3572
497,67,355.0703
497,70,154.9724
497,71,259.8274
497,71,39.6261
497,96,281.8009
499,5,223.7078
501,1,351.0413
501,119,127.4755
501,124,86.2279
501,131,154.5794
501,133,46.6129
501,134,251.6803
501,145,80.5073
501,158,116.2795
501,159,278.5510
501,171,78.7497
501,175,92.2590
501,206,189.6157
501,214,68.5620
501,46,229.3217
504,0,266.3015
504,100,176.0544
504,106,266.2791
504,113,157.0011
504,115,358.1128
504,115,83.8748
504,144,140.2339
504,151,115.9650
504,159,198.5787
504,167,122.3429
504,167,130.6919
504,170,116.3200
504,179,309.3111
504,190,45.1716
504,192,142.2427
504,193,69.6809
504,195,137.3019
504,200,176.9204
504,27,115.7254
504,50,39.8123
504,52,36.3205
504,53,233.7120
504,56,161.5576
504,66,165.0530
504,68,144.8520
504,68,30.9927
504,72,93.0749
504,8,111.5856
504,8,157.9101
504,8,173.0426
504,8,184.1606
504,8,196.7107
504,8,225.3251
504,8,247.7647
504,8,312.7486
504,8,351.8080
504,84,118.7940
504,87,147.1210
504,88,246.5929
504,9,200.8303
504,9,61.3247
504,93,135.4320
504,93,158.7841
505,102,311.2129
505,13,233.3765
505,130,71.9896
505,138,55.7772
505,139,234.8665
505,15,153.3365
505,162,275.7547
505,23,131.7753
505,27,254.1763
505,61,131.3004
505,63,286.1062
505,64,79.8436
505,65,63.4032
505,86,119.0749
505,88,195.9421
506,14,11.8806
506,14,289.2489
506,21,267.6119
506,33,245.4254
506,38,318.7403
506,59,191.1965
506,8,101.8569
508,17,352.8935
508,18,26.7796
508,27,284.7245
508,55,193.7907
508,82,186.6466
508,82,289.2641
508,83,305.4499
512,105,305.5108
512,107,227.6555
512,109,344.5492
512,114,309.8775
512,12,201.8243
512,25,79.8697
512,34,19.4261
512,58,7.7238
512,87,343.0925
512,88,59.9795
512,90,29.9219
512,91,352.6310
512,93,254.1410
513,107,220.0372
513,126,213.7251
513,130,200.5683
513,140,152.2406
513,140,37.9167
513,140,96.7768
513,149,119.4094
513,151,111.3393
513,156,253.9215
513,16,266.5212
513,174,245.4444
513,174,286.4194
513,175,111.6978
513,187,94.0270
513,44,49.6086
513,50,76.9913
513,57,131.1326
513,60,226.6339
513,60,321.7901
513,65,346.6275
513,83,190.8238
513,97,153.5826
515,2,333.1340
515,2,5.2487
515,6,268.1742
515,9,293.6970
516,1,257.6140
516,2,96.9553
516,5,259.4754
517,1,214.3424
517,1,24.9518
517,112,171.7833
517,112,328.6431
517,114,140.2484
517,129,227.9385
517,129,59.6295
517,138,111.1331
517,14,313.6429
517,140,138.0316
517,143,207.9939
517,144,94.5077
517,157,222.6832
517,160,241.0922
517,160,329.3345
517,162,97.5389
517,166,145.0713
517,169,190.5062
517,178,230.3049
517,179,147.3321
517,179,17.2456
517,180,299.8002
517,181,125.1269
517,19,202.0318
517,193,349.8853
517,20,200.3930
517,3,192.0116
517,32,32.4871
517,38,118.0545
517,4,259.5403
517,61,280.2716
517,82,189.0944
517,82,355.1804
517,84,185.3610
517,84,91.6585
517,97,179.2537
517,98,135.2859
518,5,296.2345
518,5,52.2655
518,7,109.8893
518,7,73.0673
518,8,325.8150
519,116,38.9107
519,117,334.0737
519,118,296.4666
519,143,101.8786
519,144,161.2764
519,145,176.3990
519,146,108.8627
519,200,311.9363
519,206,135.0290
519,206,293.3612
