exp,file_num,t_entry
530,3,7.485
498,0,65.161
496,0,317.093
534,4,352.273
517,120,299.144
492,2,169.079
544,13,100.705
541,19,245.967
504,184,283.485
526,9,197.569
545,127,15.828
514,17,139.751
529,3,333.79
511,13,210.988
515,12,267.707
498,2,35.2916
526,24,219.7903
530,7,131.3372
541,19,350.57
546,1,139.4852
548,115,299.8951
550,49,29.5014
555,140,178.0634
560,3,200.0255
565,116,63.7517
567,24,85.0753
504,125,237.308
515,14,333.7268
526,3,18.4366
530,7,99.3818
